Year,Energy Source,Amount
2015,Clean & Renewable,35%
2015,Coal,26%
2015,Nuclear,18%
2015,Natural Gas,16%
2015,Uncategorized,4%
2014,Clean & Renewable,20%
2014,Coal,34%
2014,Nuclear,23%
2014,Natural Gas,15%
2014,Uncategorized,7%
2013,Clean & Renewable,14%
2013,Coal,34%
2013,Nuclear,23%
2013,Natural Gas,17%
2013,Uncategorized,12%
2012,Clean & Renewable,19%
2012,Coal,34%
2012,Nuclear,22%
2012,Natural Gas,15%
2012,Uncategorized,10%
2011,Clean & Renewable,23%
2011,Coal,27%
2011,Nuclear,13%
2011,Natural Gas,17%
2011,Uncategorized,20%
